"Code","Message"
-1,"Error performing operation."
0,"Operation successful."
1,"User not found."
2,"Brokerage Firm code not found."
3,"Session inactive."
4,"Session halted."
5,"Error performing operation."
6,"Insufficient rights to perform operation."
7,"Cannot perform operation: incorrect Clearing Firm account."
8,"Insufficient rights to perform order deletion."
9,"Operations with orders are blocked for the firm by the Clearing Administrator."
10,"Insufficient funds to reserve."
12,"Options premium exceeds the limit allowed."
13,"Total amount of positions exceeds the market limit."
14,"Order not found."
25,"Unable to add order: prohibited by the Trading Administrator."
26,"Unable to open position: prohibited by Trading Administrator."
27,"Unable to open short position: prohibited by Trading Administrator."
28,"Unable to perform operation: insufficient rights."
31,"Matching order for the same account/ITN is not allowed."
32,"Trade price exceeds the limit allowed."
33,"Operations with orders are blocked for this firm by the Clearing Administrator."
34,"Cannot perform operation: wrong client code."
35,"Invalid input parameters."
36,"Cannot perform operation: wrong underlying."
37,"Multi-leg orders cannot be moved."
38,"Negotiated orders cannot be moved."
39,"Price is not a multiple of the tick size."
40,"Unable to add Negotiated order: counterparty not found."
41,"User's trading rights have expired or are not valid yet."
42,"Operations are prohibited by Chief Trader of Clearing Firm."
43,"The 'Lock Mode' flag is not set by the Trading Administrator."
44,"Clearing Firm's Chief Trader flag not found for this firm."
45,"Unable to add Negotiated orders: no RTS code found for this firm."
46,"Only Negotiated orders are allowed for this security."
47,"There was no trading in this security during the session specified."
48,"This security is being delivered. Only Negotiated orders from all Brokerage Firms within the same Clearing Firm are allowed."
49,"Unable to add Negotiated order: a firm code must be specified."
50,"Order not found."
53,"Error setting input parameter - amount."
54,"Unable to perform operation: exceeded operations quota for this client."
55,"File not found."
56,"Unable to perform operations using this login/code pair: insufficient rights. Please contact the Trading Administrator."
57,"Unable to connect to the Exchange server: insufficient rights. Please contact the Trading Administrator."
58,"Unable to add orders without verifying client funds sufficiency: insufficient rights."
60,"Auction halted for all risk-netting instruments."
61,"Trading halted in all risk-netting instruments."
62,"Trading halted on the MOEX Derivatives Market."
63,"Auction halted in all risk-netting instruments with this underlying."
64,"Trading halted in all risk-netting instruments with this underlying."
65,"Trading halted on all boards in all securities with this underlying."
66,"Trading halted in this risk-netting instrument."
67,"Unable to open positions in this risk-netting instrument: prohibited by the Trading Administrator."
68,"Unable to add orders for all risk-netting instruments: prohibited by the Brokerage Firm."
69,"Unable to add orders for all risk-netting instruments: prohibited by the Chief Trader."
70,"Trading operation is not supported."
71,"Position size exceeds the allowable limit."
72,"Order is being moved."
73,"Aggregated buy order quantity exceeds the allowable limit."
74,"Aggregated sell order quantity exceeds the allowable limit."
75,"Non-trading operation was unsuccessful due to timeout."
76,"No record to delete."
77,"No identification data for the specified trade account."
78,"Clearing Firm code not found."
79,"Operations are prohibited by the Clearing Administrator."
200,"Collateral calculation parameters are being changed by the Trading Administrator."
201,"Collateral calculation parameters are being changed by the Trading Administrator."
202,"Collateral calculation parameters are being changed by the Trading Administrator."
203,"Collateral calculation parameters are being changed by the Trading Administrator."
204,"Collateral calculation parameters are being changed by the Trading Administrator."
205,"Collateral calculation parameters are being changed by the Trading Administrator."
206,"Collateral calculation parameters are being changed by the Trading Administrator."
207,"Collateral calculation parameters are being changed by the Trading Administrator."
208,"Collateral calculation parameters are being changed by the Trading Administrator."
209,"Collateral calculation parameters are being changed by the Trading Administrator."
210,"Collateral calculation parameters are being changed by the Trading Administrator."
211,"Collateral calculation parameters are being changed by the Trading Administrator."
212,"Collateral calculation parameters are being changed by the Trading Administrator."
213,"Collateral calculation parameters are being changed by the Trading Administrator."
214,"Collateral calculation parameters are being changed by the Trading Administrator."
215,"CoreDispatcher ждёт выхода в online по LLM и не готов к переходу в Stop."
216,"Collateral calculation parameters are being changed by the Trading Administrator."
217,"Collateral calculation parameters are being changed by the Trading Administrator."
218,"Collateral calculation parameters are being changed by the Trading Administrator."
219,"Collateral calculation parameters are being changed by the Trading Administrator."
220,"Collateral calculation parameters are being changed by the Trading Administrator."
221,"Collateral calculation parameters are being changed by the Trading Administrator."
222,"Collateral calculation parameters are being changed by the Trading Administrator."
223,"Collateral calculation parameters are being changed by the Trading Administrator."
224,"Collateral calculation parameters are being changed by the Trading Administrator."
225,"Collateral calculation parameters are being changed by the Trading Administrator."
226,"Collateral calculation parameters are being changed by the Trading Administrator."
227,"Collateral calculation parameters are being changed by the Trading Administrator."
228,"Collateral calculation parameters are being changed by the Trading Administrator."
229,"Collateral calculation parameters are being changed by the Trading Administrator."
230,"Code value not found."
231,"Bad 'num' sequence for code."
232,"There are no any futures data for code."
233,"There are no any key point for code."
234,"'minstep' parameter is 0 for code."
235,"'code' and 'num' values not found."
236,"No calculation result."
237,"fortsFutRisks library is not inited."
238,"settlement_price_last_clearing param is null for code."
239,"No spot for code"
240,"Market data params is incorrect for code."
241,"Last clearing curve is empty for underlying's code."
242,"The value cannot be placed in Numeric(16.5)."
243,"Price value of non percentage futures less than minstep."
244,"Divide by zero exception."
245,"Initial margin requirement not recalculated for all BFs."
246,"Collateral calculation parameters are being changed by the Trading Administrator."
247,"Collateral calculation parameters are being changed by the Trading Administrator."
248,"Collateral calculation parameters are being changed by the Trading Administrator."
249,"Collateral calculation parameters are being changed by the Trading Administrator."
250,"Collateral calculation parameters are being changed by the Trading Administrator."
300,"Prohibition of all trading operations due to revocation/suspension of the dealer license of this Clearing Firm."
301,"Prohibition of opening positions due to revocation/suspension of the dealer license of this Clearing Firm."
302,"Prohibition of all trading operations due to revocation/suspension of the brokerage license of this Clearing Firm."
303,"Prohibition of opening positions due to revocation/suspension of the brokerage license of this Clearing Firm."
304,"Prohibition of all trading operations due to revocation/suspension of the license of exchange intermediary for this Clearing Firm."
305,"Prohibition of opening positions due to revocation/suspension of the license of exchange intermediary for this Clearing Firm."
306,"Prohibition of all trading operations due to revocation/suspension of the asset management license of this Clearing Firm."
307,"Prohibition of opening positions due to revocation/suspension of the asset management license of this Clearing Firm."
